rank,restaurant name,general rating,number of reviews,tags,address,phone number,website url,menu url,timetable,email address,travelers choice,michelin,food rating,service rating,value rating,atmosphere rating,description,dutch description,price range,cuisines,special diets,meals,restaurant features,id
#1,Kin Khao - Thai Eatery,5.0 of 5 bubbles,922 reviews,$$ - $$$|Thai|Healthy|Vegetarian Friendly,"Donkersteeg 21-23, Ghent 9000 Belgium",+32 468 10 59 59,http://www.kinkhao.be/,http://www.kinkhao.be/site/menu/,True,gent@kinkhao.be,True,False,5.0,5.0,4.5,-1.0,"Differing from formal dining establishments, Kin Khao - Thai Eatery represents a Thai casual venue, offering a delectable dining experience, with minimal fuss. Kin Khao – Thai Eatery located in the historical city center and in the main shopping area in Ghent. We aim to present Ghentians and visitors with the new kind of Thai Restaurant at affordable prices. Our cuisine is contemporary Thai, authentic and delicious, using the best fresh local produce, combined with herbs, spices and Asian vegetables. We source only the best from Thailand and locally. We make all our curry pastes, sauces, and relishes in-house daily. We invite you to taste the difference! Khin Khao offers a flavoursome selection of freshly prepared stir fries, curries, salads and soups. The menu also features Thailand-inspired drinks, as well as a simple yet selective wine list.",,€10 - €28,"Thai, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options","Dinner, Drinks","Reservations, Seating, Serves Alcohol, Free Wifi, Table Service, Gift Cards Available",13969825
#1,'t Sleutelgat,5.0 of 5 bubbles,200 reviews,$$$$|French|Belgian|European,"Kasseide 78, Ninove 9400 Belgium",+32 54 56 63 09,http://www.restaurant-sleutelgat.be/,,True,restaurant_sleutelgat@telenet.be,False,True,5.0,5.0,4.5,5.0,,,€32 - €74,"French, Belgian, European","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Free Wifi, Reservations, Outdoor Seating, Seating, Parking Available, Free off-street parking, Wheelchair Accessible, Serves Alcohol, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service, Highchairs Available, Full Bar",740727
#2,Royal India Restaurant,4.5 of 5 bubbles,774 reviews,$$ - $$$|Indian|Asian|Vegetarian Friendly,"Donkersteeg 19 Near hotel novotel gent, Ghent 9000 Belgium",+32 497 40 78 27,,,True,royalindiabelgium@gmail.com,True,False,4.5,4.5,4.5,-1.0,"For fresh ingredients and bold flavour, dine in at Royal India Restaurant. We're the best Indian restaurant in Gent, Belgium. Lot of choices in vegetarian , non vegetarian and Vegan :-). Authentic Indian food with royal hospitality. Welcome",,€15 - €30,"Indian, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night, Drinks","Takeout, Reservations, Seating, Highchairs Available, Serves Alcohol, Wine and Beer, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service, Accepts American Express, Live Music, Non-smoking restaurants, Gift Cards Available",12188645
#3,Roots,5.0 of 5 bubbles,282 reviews,$$ - $$$|Belgian|European|Healthy,"Vrouwebroersstraat 5, Ghent 9000 Belgium",+32 9 310 67 73,http://www.rootsgent.be/,,True,Info@rootsgent.be,True,True,5.0,4.5,5.0,-1.0,,,€40 - €80,"Belgian, European, Healthy",,"Lunch, Dinner","Reservations, Outdoor Seating, Seating, Serves Alcohol, Accepts Credit Cards, Table Service",9710340
#1,Mirage,4.5 of 5 bubbles,240 reviews,$$ - $$$|French|Belgian|Dutch,"Brusselsestraat 99, Dendermonde 9200 Belgium",+32 52 55 48 26,http://mirage-ma.be/,http://mirage-ma.be/feestdagenmenus/,True,contact@mirage-ma.be,True,False,4.5,4.5,4.5,-1.0,,,€16 - €64,"French, Belgian, Dutch, Seafood, European","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Accepts Visa, Reservations, Outdoor Seating, Seating, Street Parking, Wheelchair Accessible, Serves Alcohol, Accepts Mastercard, Cash Only, Accepts Credit Cards, Table Service, Highchairs Available, Gift Cards Available",8298124
#4,LOF Restaurant,5.0 of 5 bubbles,371 reviews,$$$$|Belgian|Seafood|European,"Hoogstraat 36, Ghent 9000 Belgium",+32 9 235 40 70,http://www.lofrestaurant.com/,https://www.lofrestaurant.com/menu/,True,info@lofrestaurant.com,True,False,4.5,4.5,4.5,-1.0,"Discover a centuries-old building, constructed in Louis XIV style and steps away from Ghent’s historic city centre. The former residence was once a rendezvous for the city’s poets and philosophers. Today, it is home to the newly designed LOF Restaurant, in collaboration with the famous Dutch Michelin star chef Ron Blaauw. The intimate space displays singular artworks, soft-hued fabrics and an effortless state of elegance. The large windows infuse the restaurant with a bright mood and offer a view of the city. The menu is inspired by the gastrobar concept as Blaauw succesfully introduced before in Amsterdam, with quality and simplicity as the main pillars. Each dish allows to be paired with a wine from the carefully curated wine list, featuring a wide range of acclaimed labels.","In ons sfeervolle restaurant stellen Hannes Vandebotermet en zijn team u voor aan lokale specialiteiten en ingrediënten die een unieke, moderne twist hebben gekregen. Ons restaurant is gewaardeerd met een score van 13/20 en één koksmuts in de meest recente Gault&Millau-gids. Ook kunt u bij LOF Restaurant genieten van een special Vegan menu die zeer gewaardeerd is.",No pricing available,"Belgian, Seafood, European","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night","Highchairs Available, Reservations, Outdoor Seating, Private Dining, Seating, Parking Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service",2313967
#5,Maison Elza,4.5 of 5 bubbles,269 reviews,$$ - $$$|Belgian|European|Vegetarian Friendly,"Jan Breydelstraat 36, Ghent 9000 Belgium",+32 9 225 21 28,http://www.maisonelza.be/,http://www.maisonelza.be/menu-lunch/,True,,True,False,4.5,4.5,4.5,-1.0,,,No pricing available,"Belgian, European","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Brunch","Reservations, Outdoor Seating, Seating, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",10032417
#6,Restaurant Cocotte,5.0 of 5 bubbles,90 reviews,$$ - $$$|Belgian|European|Asian,"Akkerhage 10, Ghent 9000 Belgium",+32 9 396 55 55,http://www.hotelgent.be/eten-drinken,https://www.hotelgent.be/menu/terras-menu,True,restaurant@gent.valk.com,False,False,-1.0,-1.0,-1.0,-1.0,"Restaurant Cocotte is characterized by pure cuisine, a balanced wine list and stylish decor. A place where you can enjoy unique dishes and Valk Classics prepared by an experienced kitchen team. The kitchen of Restaurant Cocotte is characterized by a beautiful blend of European-Classical dishes.","Restaurant Cocotte wordt gekenmerkt door pure cuisine, een uitgebalanceerde wijnkaart en een stijlvolle inrichting. Een plek waar u kunt genieten van unieke gerechten en Valk-Klassiekers die worden bereid door een ervaren keukenteam. De keuken van Restaurant Cocotte wordt getypeerd door een mooie blend van Europees-Klassieke gerechten.",€8 - €39,"European, Asian, Contemporary, Fusion, Healthy, Belgian",,"Breakfast, Lunch, Dinner, Brunch","Reservations, Seating, Accepts Credit Cards, Table Service, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Free Wifi, Dog Friendly, Family style, Non-smoking restaurants",23486686
#7,Karel De Stoute,4.5 of 5 bubbles,331 reviews,$$$$|Belgian|European|Vegetarian Friendly,"Vrouwebroerstraat 2 9000, Ghent Belgium",+32 9 224 17 35,http://www.restkareldestoute.be/,,False,,False,True,4.5,4.5,4.5,4.0,Nice young couple recently took it over and made a great little restaurant!,,No pricing available,"Belgian, European","Vegetarian Friendly, Gluten Free Options","Lunch, Dinner, Late Night","Reservations, Private Dining, Seating, Serves Alcohol, Accepts Credit Cards, Table Service",1755070
#8,Restaurant Valentijn,4.5 of 5 bubbles,629 reviews,$$ - $$$|French|Belgian|European,"Rodekoningstraat 1 Patershol, Ghent 9000 Belgium",+32 9 225 04 29,http://www.restaurantvalentijn.be/,,True,,True,False,4.5,4.5,4.5,4.5,We wish you a warm welcome...,Iedereen welkom...,€30 - €50,"French, Belgian, European",Gluten Free Options,"Lunch, Dinner","Highchairs Available, Reservations, Seating, Serves Alcohol, Wine and Beer, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service, Digital Payments, Non-smoking restaurants, Gift Cards Available",1557772
